sent,original_cont_label,original_det_label,annotated_cont_labels,annotated_det_labels,CLOB,COLOR,FADE,FORM,K,KAN,KOB,KP,(A),(AD),(H),(HD),A,ABS,AD,ALIM,ANAT,ARCH,BOT,ELEM,FRAG,GÉO,H,HD,MQ,OBJ,PAYS,RADIO,SEX,SG,SYMB,animal_macro,human_macro,abs_macro,food_macro,art_arch_macro,nature_macro,fragment_macro,geo_macro,object_macro,science_macro,graphic_macro
"The old, worn leather saddle had faded to a soft, mossy green from years of exposure to the desert sun and dusty trails.",['A'],['FORM'],"Based on the given definitions, I would categorize the sentence as:

(HD):a part of an animal (specifically a saddle)","Based on the given text, I would categorize it as:

K: The human/s move (in this case, a person riding a horse)
CLOB: the object of the sentence is the feeling of threat, axiety (the desert sun and dusty trails)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The old photograph showed a faded Polaroid of a wild deer in the woods, its spots slowly disappearing as if washed away by rain.",['AD'],['FORM'],"I would categorize the sentence as:

(HD):a part of a fictional person.","Based on the given text, I would categorize it as:

K: The human/s move (the old photograph is taken of a person)
CLOB: The object of the sentence is the feeling of threat, anxiety (the old photograph shows a wild deer in the woods, which may evoke feelings of fear or unease)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The old, worn leather saddle had faded to a soft, mossy green, like the underside of a leaf that has been submerged in a murky pond for months, its once-bright color now dulled by the constant exposure to water and mud.",['A'],"['FORM', 'COLOR']","Based on the given text, I would categorize it as:

(HD):the underside of a leaf
(ELEM):leaves","Based on the sentence, I would categorize it as:

CLOB: The old, worn leather saddle had faded to a soft, mossy green.

This is because the sentence describes the physical appearance of an object (the saddle) and its color, which are both associated with feelings of threat or unease (old, worn, and faded).",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The old, worn leather book had faded to a soft brown from years of being handled and left in the attic, its cracked cover bearing a subtle texture like rough stone.",['OBJ'],['FORM'],The following two categories fit the sentence most: (A):a real animal; (H):a human.,"Based on the sentence, I would categorize it as:

K: The human/s move (the book being handled and left in the attic)
CLOB: the object of the sentence is a feeling of threat (gloom)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"The tiger's tail swished back and forth as it paced nervously in its enclosure, its ears perked up and twitching with every sound outside.",['A'],['KAN'],"The following two categories fit the sentence most accurately:

(HD):the tiger's tail
(AD):its ears","Based on the given text, I would categorize it as follows:

K: The human/s move (tiger's tail swished back and forth)
CLOB: The object of the sentence is the feeling of threat, axiety (nervously in its enclosure)",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The old man walked down the street, his cane tapping on the pavement as he gazed out at the cityscape. A young girl ran past him, chasing after a ball, while her mother tried to catch it in mid-air. The father stood nearby, watching with a warm smile.",['H'],['K'],I would categorize the sentence as: H (A):a human.,"Based on the sentence, I would categorize it as:

K: The old man walked down the street
CLOB: The cityscape",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The doctor examined the patient's leg carefully, noticing a slight tremble in her hand as she tried to hold a pen steady during the examination.",['HD'],['KP'],"The following categories fit the sentence more:

H (human)
AD (part of a human)","Based on the given text, I would categorize it as:

K: The human/s move (the doctor examining the patient)
CLOB: The object of the sentence is the feeling of threat, anxiety (gloomy or worried feelings are associated with a slight tremble in her hand)

The other categories do not fit as well.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The old watch had faded leather straps and cracked metal cases, its once-polished surface now worn smooth like a well-worn saddle on a horse.",['HD'],['FORM'],"The following two categories fit the sentence more: (A):a real animal. For example, a horse.

(HD):a part of a real animal. For example: the saddle on a horse.","Based on the sentence, I would categorize it as:

K: The human/s move (the watch)
CLOB: the feeling of threat, axiety (death, aging, gloom)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The old, worn leather saddle had faded to a soft, mossy green on its wooden panels, with intricate stitching that seemed to shimmer in the dim light like a thousand tiny veins.",['ANAT'],['FORM'],"Based on the given text, I would categorize it as:

(HD):a part of an animal (specifically, a saddle)

This is because the sentence describes a specific anatomical feature of an animal, namely a leather saddle, and its parts, such as the wooden panels and stitching.","Based on the sentence, I would categorize it as:

K: The human/s move (the saddle is worn and faded)
CLOB: the feeling of threat, axiety (the dim light implies a sense of danger or unease)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"The old, worn leather saddle had faded to a soft, mossy green, its intricate stitching now loose and frayed like the edges of an ancient book, while the worn wooden handle seemed to absorb the fading light around it, like a gentle bruise.","['A', 'AD']",['FORM'],I would categorize the sentence as: H/A (a human with animal parts).,"Based on the sentence, I would categorize it as:

CLOB (The object of the sentence is the feeling of threat, anxiety) and FORM (the object of the sentence has some kind of fading or texture)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
